lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
LLL-Liv,mb001,training,train1,-2,2.907,6.261,NC,NC,
LLL-Liv,mb001,training,train2,-1,4.185,9.14,NC,NC,
LLL-Liv,mb001,IDS,IDS1,1,4.743,13.017,NC,NC,
LLL-Liv,mb001,ADS,ADS1,2,2.794,5.956,NC,NC,
LLL-Liv,mb001,IDS,IDS2,3,6.821,13.869,NC,NC,
LLL-Liv,mb001,ADS,ADS2,4,0,2.678,NC,NC,
LLL-Liv,mb001,ADS,ADS3,5,0.918,4.984,NC,NC,
LLL-Liv,mb001,IDS,IDS3,6,2.014,12.72,NC,NC,
LLL-Liv,mb001,IDS,IDS4,7,0,2.015,NC,NC,
LLL-Liv,mb001,ADS,ADS4,8,2.448,7.135,NC,NC,
LLL-Liv,mb001,ADS,ADS5,9,0,2.013,NC,NC,
LLL-Liv,mb001,IDS,IDS5,10,0,2.009,NC,NC,
LLL-Liv,mb001,ADS,ADS6,11,0,2.015,NC,NC,
LLL-Liv,mb001,IDS,IDS6,12,0,2.015,NC,NC,
LLL-Liv,mb001,IDS,IDS7,13,0.358,4.656,NC,NC,
LLL-Liv,mb001,ADS,ADS7,14,0.112,2.622,NC,NC,
LLL-Liv,mb001,ADS,ADS8,15,1.735,4.144,NC,NC,
LLL-Liv,mb001,IDS,IDS8,16,0,2.007,NC,NC,
LLL-Liv,mb002,training,train1,-2,2.458,4.613,NC,NC,
LLL-Liv,mb002,training,train2,-1,0,2.016,NC,NC,
LLL-Liv,mb002,ADS,ADS1,1,0,2.015,NC,NC,
LLL-Liv,mb002,IDS,IDS1,2,0.294,2.306,NC,NC,
LLL-Liv,mb002,ADS,ADS2,3,1.595,4.573,NC,NC,
LLL-Liv,mb002,IDS,IDS2,4,4.71,12.526,NC,NC,
LLL-Liv,mb002,IDS,IDS3,5,2.82,5.69,NC,NC,
LLL-Liv,mb002,ADS,ADS3,6,2.475,8.136,NC,NC,
LLL-Liv,mb002,ADS,ADS4,7,1.314,3.411,NC,NC,
LLL-Liv,mb002,IDS,IDS4,8,0.748,3.918,NC,NC,
LLL-Liv,mb002,IDS,IDS5,9,0.73,3.207,NC,NC,
LLL-Liv,mb002,ADS,ADS5,10,0,2.014,NC,NC,
LLL-Liv,mb002,IDS,IDS6,11,2.731,6.297,NC,NC,
LLL-Liv,mb002,ADS,ADS6,12,0,2.008,NC,NC,
LLL-Liv,mb002,ADS,ADS7,13,1.128,3.857,NC,NC,
LLL-Liv,mb002,IDS,IDS7,14,2.348,7.085,NC,NC,
LLL-Liv,mb002,IDS,IDS8,15,0,2.013,NC,NC,
LLL-Liv,mb002,ADS,ADS8,16,1.29,5.853,NC,NC,
LLL-Liv,mb003,training,train2,-1,15.421,18.005,NC,NC,
LLL-Liv,mb003,training,train1,-2,6.32,8.777,NC,NC,
LLL-Liv,mb003,IDS,IDS5,1,5.536,7.952,NC,NC,
LLL-Liv,mb003,ADS,ADS5,2,3.311,5.558,NC,NC,
LLL-Liv,mb003,ADS,ADS7,3,6.871,9.114,NC,NC,
LLL-Liv,mb003,IDS,IDS7,4,3.724,5.924,NC,NC,
LLL-Liv,mb003,ADS,ADS1,5,4.632,7.008,NC,NC,
LLL-Liv,mb003,IDS,IDS1,6,5.379,7.67,NC,NC,
LLL-Liv,mb003,ADS,ADS3,7,8.942,13.226,NC,NC,
LLL-Liv,mb003,IDS,IDS3,8,3.855,7.963,NC,NC,
LLL-Liv,mb003,ADS,ADS2,9,3.161,7.447,NC,NC,
LLL-Liv,mb003,IDS,IDS2,10,2.417,4.504,NC,NC,
LLL-Liv,mb003,IDS,IDS4,11,6.064,12.09,NC,NC,
LLL-Liv,mb003,ADS,ADS4,12,6.606,8.784,NC,NC,
LLL-Liv,mb003,IDS,IDS6,13,4.949,7.093,NC,NC,
LLL-Liv,mb003,ADS,ADS6,14,2.304,4.455,NC,NC,
LLL-Liv,mb003,IDS,IDS8,15,4.674,6.74,NC,NC,
LLL-Liv,mb003,ADS,ADS8,16,4.174,6.351,NC,NC,
LLL-Liv,mb004,training,train2,-1,8.752,18.004,NC,NC,
LLL-Liv,mb004,training,train1,-2,5.218,15.033,NC,NC,
LLL-Liv,mb004,ADS,ADS5,1,2.968,8.067,NC,NC,
LLL-Liv,mb004,IDS,IDS5,2,2.365,9.483,NC,NC,
LLL-Liv,mb004,IDS,IDS7,3,1.895,7.14,NC,NC,
LLL-Liv,mb004,ADS,ADS7,4,1.621,5.735,NC,NC,
LLL-Liv,mb004,IDS,IDS1,5,1.902,6.083,NC,NC,
LLL-Liv,mb004,ADS,ADS1,6,1.324,3.355,NC,NC,
LLL-Liv,mb004,IDS,IDS3,7,1.117,3.187,NC,NC,
LLL-Liv,mb004,ADS,ADS3,8,4.739,10.819,NC,NC,
LLL-Liv,mb004,IDS,IDS2,9,2.209,4.287,NC,NC,
LLL-Liv,mb004,ADS,ADS2,10,3.886,8.674,NC,NC,
LLL-Liv,mb004,ADS,ADS4,11,3.704,6.439,NC,NC,
LLL-Liv,mb004,IDS,IDS4,12,3.276,8.066,NC,NC,
LLL-Liv,mb004,ADS,ADS6,13,1.353,3.415,NC,NC,
LLL-Liv,mb004,IDS,IDS6,14,1.281,3.402,NC,NC,
LLL-Liv,mb004,ADS,ADS8,15,3.068,6.112,NC,NC,
LLL-Liv,mb004,IDS,IDS8,16,3.433,6.81,NC,NC,
LLL-Liv,mb005,training,train1,-2,8.155,13.451,NC,NC,
LLL-Liv,mb005,training,train2,-1,7.192,12.982,NC,NC,
LLL-Liv,mb005,IDS,IDS1,1,12.892,18.006,NC,NC,
LLL-Liv,mb005,ADS,ADS1,2,8.061,13.5,NC,NC,
LLL-Liv,mb005,IDS,IDS2,3,13.094,18.014,NC,NC,
LLL-Liv,mb005,ADS,ADS2,4,3.753,10.043,NC,NC,
LLL-Liv,mb005,ADS,ADS3,5,5.517,10.235,NC,NC,
LLL-Liv,mb005,IDS,IDS3,6,9.011,13.392,NC,NC,
LLL-Liv,mb005,IDS,IDS4,7,3.429,6.462,NC,NC,
LLL-Liv,mb005,ADS,ADS4,8,1.11,4.777,NC,NC,
LLL-Liv,mb005,ADS,ADS5,9,4.218,10.727,error,parent interference,parent took headphone off
LLL-Liv,mb005,IDS,IDS5,10,1.485,4.158,error,parent interference,parent took headphone off
LLL-Liv,mb005,ADS,ADS6,11,1.798,4.877,error,parent interference,parent took headphone off
LLL-Liv,mb005,IDS,IDS6,12,4.878,7.071,error,parent interference,parent took headphone off
LLL-Liv,mb005,IDS,IDS7,13,4.321,10.038,error,parent interference,parent took headphone off
LLL-Liv,mb005,ADS,ADS7,14,2.254,7.611,error,parent interference,parent took headphone off
