lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
babylab-konstanz,MB01,training,Train1,-2,7.26,13.88,noerror,NA,NA
babylab-konstanz,MB01,training,Train2,-1,4.17,6.67,noerror,NA,NA
babylab-konstanz,MB01,IDS,IDS5,1,8.17,13.37,noerror,NA,NA
babylab-konstanz,MB01,ADS,ADS5,2,4.99,7.50,noerror,NA,NA
babylab-konstanz,MB01,ADS,ADS7,3,1.83,4.33,noerror,NA,fuzziness
babylab-konstanz,MB01,IDS,IDS7,4,4.63,7.13,noerror,NA,NA
babylab-konstanz,MB01,ADS,ADS1,5,1.42,3.94,noerror,NA,fuzziness
babylab-konstanz,MB01,IDS,IDS1,6,2.64,9.09,noerror,NA,NA
babylab-konstanz,MB01,ADS,ADS3,7,4.33,9.87,noerror,NA,NA
babylab-konstanz,MB01,IDS,IDS3,8,3.63,6.64,noerror,NA,NA
babylab-konstanz,MB01,ADS,ADS2,9,1.74,4.65,noerror,NA,fuzziness
babylab-konstanz,MB01,IDS,IDS2,10,8.98,11.48,noerror,NA,NA
babylab-konstanz,MB01,IDS,IDS4,11,1.12,3.63,noerror,NA,fuzziness
babylab-konstanz,MB01,ADS,ADS4,12,2.19,6.89,noerror,NA,fuzziness
babylab-konstanz,MB01,IDS,IDS6,13,0.11,2.61,error,crying,crying
babylab-konstanz,MB01,ADS,ADS6,14,1.22,3.73,error,crying,crying
babylab-konstanz,MB01,IDS,IDS8,15,NC,NC,error,experiment ended early,crying
babylab-konstanz,MB01,ADS,ADS8,16,NC,NC,error,experiment ended early,crying
babylab-konstanz,MB02,training,Train1,-2,0.33,2.81,error,parent interference,"not interested in side light/sound, parent directing child towards side light, very short look"
babylab-konstanz,MB02,training,Train2,-1,2.80,7.66,error,parent interference,"not interested in side light/sound, parent directing child towards side light, very short look"
babylab-konstanz,MB02,IDS,IDS1,1,17.67,18.03,noerror,NA,NA
babylab-konstanz,MB02,ADS,ADS1,2,16.91,18.03,noerror,NA,NA
babylab-konstanz,MB02,IDS,IDS2,3,18.01,18.03,noerror,NA,NA
babylab-konstanz,MB02,ADS,ADS2,4,18.02,18.03,noerror,NA,NA
babylab-konstanz,MB02,ADS,ADS3,5,18.01,18.03,noerror,NA,NA
babylab-konstanz,MB02,IDS,IDS3,6,18.02,18.03,noerror,NA,NA
babylab-konstanz,MB02,IDS,IDS4,7,18.00,18.03,noerror,NA,NA
babylab-konstanz,MB02,ADS,ADS4,8,15.90,18.03,noerror,NA,mom comforting baby prior to trial
babylab-konstanz,MB02,ADS,ADS5,9,10.88,14.04,error,parent interference,"when turning to mom, mom starts interacting with baby"
babylab-konstanz,MB02,IDS,IDS5,10,16.11,18.03,noerror,NA,NA
babylab-konstanz,MB02,ADS,ADS6,11,18.02,18.03,noerror,NA,NA
babylab-konstanz,MB02,IDS,IDS6,12,16.69,18.03,noerror,NA,NA
babylab-konstanz,MB02,IDS,IDS7,13,14.02,18.03,noerror,NA,NA
babylab-konstanz,MB02,ADS,ADS7,14,15.89,18.03,noerror,NA,NA
babylab-konstanz,MB02,ADS,ADS8,15,16.28,18.03,noerror,NA,NA
babylab-konstanz,MB02,IDS,IDS8,16,15.15,18.03,noerror,NA,mom comforting baby prior to trial
babylab-konstanz,MB03,training,Train1,-2,14.98,18.02,noerror,NA,NA
babylab-konstanz,MB03,training,Train2,-1,7.97,11.44,noerror,NA,NA
babylab-konstanz,MB03,IDS,IDS5,1,9.15,11.66,noerror,NA,NA
babylab-konstanz,MB03,ADS,ADS5,2,15.66,18.03,noerror,NA,NA
babylab-konstanz,MB03,ADS,ADS7,3,14.43,16.94,noerror,NA,NA
babylab-konstanz,MB03,IDS,IDS7,4,16.22,18.03,noerror,NA,NA
babylab-konstanz,MB03,ADS,ADS1,5,5.21,7.72,noerror,NA,NA
babylab-konstanz,MB03,IDS,IDS1,6,11.57,14.08,noerror,NA,NA
babylab-konstanz,MB03,ADS,ADS3,7,6.77,9.28,noerror,NA,NA
babylab-konstanz,MB03,IDS,IDS3,8,6.76,9.28,noerror,NA,NA
babylab-konstanz,MB03,ADS,ADS2,9,4.93,7.44,noerror,NA,NA
babylab-konstanz,MB03,IDS,IDS2,10,5.75,8.25,noerror,NA,NA
babylab-konstanz,MB03,IDS,IDS4,11,1.55,4.06,noerror,NA,NA
babylab-konstanz,MB03,ADS,ADS4,12,5.22,7.74,noerror,NA,NA
babylab-konstanz,MB03,IDS,IDS6,13,9.07,13.66,noerror,NA,"babbling, not interested in left side light, sound played to attract attention, infant orientes to light immediately and keeps paying attention"
babylab-konstanz,MB03,ADS,ADS6,14,8.90,11.77,noerror,NA,NA
babylab-konstanz,MB03,IDS,IDS8,15,15.43,18.03,noerror,NA,"baby standing up, babbling"
babylab-konstanz,MB03,ADS,ADS8,16,5.21,11.16,noerror,NA,"baby standing, moving"
babylab-konstanz,MB04,training,Train2,-2,12.84,15.34,noerror,NA,NA
babylab-konstanz,MB04,training,Train1,-1,0.15,2.65,error,experimenter error,"misinterpreted look, no reaction"
babylab-konstanz,MB04,ADS,ADS1,1,15.89,18.02,noerror,NA,NA
babylab-konstanz,MB04,IDS,IDS1,2,17.59,18.02,noerror,NA,NA
babylab-konstanz,MB04,ADS,ADS2,3,8.31,10.81,noerror,NA,NA
babylab-konstanz,MB04,IDS,IDS2,4,18.01,18.02,noerror,NA,NA
babylab-konstanz,MB04,IDS,IDS3,5,16.94,18.02,noerror,NA,NA
babylab-konstanz,MB04,ADS,ADS3,6,5.59,8.09,noerror,NA,NA
babylab-konstanz,MB04,ADS,ADS4,7,4.27,6.76,noerror,NA,NA
babylab-konstanz,MB04,IDS,IDS4,8,10.99,14.49,noerror,NA,NA
babylab-konstanz,MB04,IDS,IDS5,9,4.12,7.16,noerror,NA,NA
babylab-konstanz,MB04,ADS,ADS5,10,4.92,9.07,noerror,NA,NA
babylab-konstanz,MB04,IDS,IDS6,11,11.83,16.10,noerror,NA,NA
babylab-konstanz,MB04,ADS,ADS6,12,2.83,5.34,noerror,NA,NA
babylab-konstanz,MB04,ADS,ADS7,13,8.08,10.59,noerror,NA,NA
babylab-konstanz,MB04,IDS,IDS7,14,12.91,18.02,noerror,NA,NA
babylab-konstanz,MB04,IDS,IDS8,15,13.51,16.02,noerror,NA,NA
babylab-konstanz,MB04,ADS,ADS8,16,14.40,18.02,noerror,NA,NA
babylab-konstanz,MB05,training,Train1,-2,15.79,18.02,noerror,NA,NA
babylab-konstanz,MB05,training,Train2,-1,11.28,13.79,noerror,NA,NA
babylab-konstanz,MB05,IDS,IDS1,1,12.81,15.31,noerror,NA,NA
babylab-konstanz,MB05,ADS,ADS1,2,16.81,18.03,noerror,NA,NA
babylab-konstanz,MB05,IDS,IDS2,3,17.34,18.03,noerror,NA,NA
babylab-konstanz,MB05,ADS,ADS2,4,8.36,10.88,noerror,NA,NA
babylab-konstanz,MB05,ADS,ADS3,5,7.61,10.96,noerror,NA,NA
babylab-konstanz,MB05,IDS,IDS3,6,16.39,18.03,noerror,NA,NA
