lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
babylab-utrecht,601,training,train1,-2,17.999346,17.999346,noerror,NA,NA
babylab-utrecht,601,training,train2,-1,17.999322,17.999322,noerror,NA,NA
babylab-utrecht,601,IDS,IDS1,1,4.328974,6.644636,noerror,NA,NA
babylab-utrecht,601,ADS,ADS1,2,17.661246,17.999364,noerror,NA,NA
babylab-utrecht,601,IDS,IDS2,3,14.677668,17.99941,noerror,NA,NA
babylab-utrecht,601,ADS,ADS2,4,13.581587,17.999368,noerror,NA,NA
babylab-utrecht,601,ADS,ADS3,5,12.997912,17.999424,noerror,NA,NA
babylab-utrecht,601,IDS,IDS3,6,14.685671,17.999366,noerror,NA,NA
babylab-utrecht,601,IDS,IDS4,7,14.701587,17.999359,noerror,NA,NA
babylab-utrecht,601,ADS,ADS4,8,12.414363,17.999394,noerror,NA,NA
babylab-utrecht,601,ADS,ADS5,9,10.503302,14.152354,noerror,NA,NA
babylab-utrecht,601,IDS,IDS5,10,13.107892,17.99944,noerror,NA,NA
babylab-utrecht,601,ADS,ADS6,11,9.325241,13.449453,error,Parental interference,Parent removed headphones
babylab-utrecht,601,IDS,IDS6,12,13.011503,17.999431,error,Parental interference,Parent removed headphones
babylab-utrecht,601,IDS,IDS7,13,15.673491,17.999392,error,Parental interference,Parent removed headphones
babylab-utrecht,601,ADS,ADS7,14,3.363106,5.363106,error,Parental interference,Parent removed headphones
babylab-utrecht,601,ADS,ADS8,15,6.518387,9.378202,error,Parental interference,Parent removed headphones
babylab-utrecht,601,IDS,IDS8,16,2.458434,4.458434,error,Parental interference,Parent removed headphones
babylab-utrecht,602,training,train1,-2,17.99933,17.99933,noerror,NA,NA
babylab-utrecht,602,training,train2,-1,17.999362,17.999362,noerror,NA,NA
babylab-utrecht,602,ADS,ADS1,1,17.999416,17.999416,noerror,NA,NA
babylab-utrecht,602,IDS,IDS1,2,14.134852,17.999414,noerror,NA,NA
babylab-utrecht,602,ADS,ADS2,3,15.308151,17.999401,noerror,NA,NA
babylab-utrecht,602,IDS,IDS2,4,11.342881,17.999414,noerror,NA,NA
babylab-utrecht,602,IDS,IDS3,5,14.63194,17.999371,noerror,NA,NA
babylab-utrecht,602,ADS,ADS3,6,17.289083,17.999363,noerror,NA,NA
babylab-utrecht,602,ADS,ADS4,7,14.55065,17.999372,noerror,NA,NA
babylab-utrecht,602,IDS,IDS4,8,15.644402,17.9994,noerror,NA,NA
babylab-utrecht,602,IDS,IDS5,9,15.584729,17.999397,noerror,NA,NA
babylab-utrecht,602,ADS,ADS5,10,3.915891,5.915891,noerror,NA,NA
babylab-utrecht,602,IDS,IDS6,11,14.111485,17.999394,noerror,NA,NA
babylab-utrecht,602,ADS,ADS6,12,9.765345,14.707185,noerror,NA,NA
babylab-utrecht,602,ADS,ADS7,13,14.705413,17.999402,noerror,NA,NA
babylab-utrecht,602,IDS,IDS7,14,16.764895,17.999401,noerror,NA,NA
babylab-utrecht,602,IDS,IDS8,15,15.055514,17.999355,noerror,NA,NA
babylab-utrecht,602,ADS,ADS8,16,16.352743,17.99943,noerror,NA,NA
babylab-utrecht,603,training,train1,-2,17.999315,17.999315,noerror,NA,NA
babylab-utrecht,603,training,train2,-1,17.999309,17.999309,noerror,NA,NA
babylab-utrecht,603,IDS,IDS5,1,17.999371,17.999371,noerror,NA,NA
babylab-utrecht,603,ADS,ADS5,2,16.843143,17.999361,noerror,NA,NA
babylab-utrecht,603,ADS,ADS7,3,16.858872,17.999373,noerror,NA,NA
babylab-utrecht,603,IDS,IDS7,4,15.491521,17.999396,noerror,NA,NA
babylab-utrecht,603,ADS,ADS1,5,17.391667,17.999396,noerror,NA,NA
babylab-utrecht,603,IDS,IDS1,6,16.585872,17.999429,noerror,NA,NA
babylab-utrecht,603,ADS,ADS3,7,16.008013,17.999366,noerror,NA,NA
babylab-utrecht,603,IDS,IDS3,8,16.555586,17.999366,noerror,NA,NA
babylab-utrecht,603,ADS,ADS2,9,17.999391,17.999391,noerror,NA,NA
babylab-utrecht,603,IDS,IDS2,10,12.626971,14.626971,noerror,NA,NA
babylab-utrecht,603,IDS,IDS4,11,8.713802,10.713802,noerror,NA,NA
babylab-utrecht,603,ADS,ADS4,12,14.228335,16.981136,noerror,NA,NA
babylab-utrecht,603,IDS,IDS6,13,14.162924,16.162924,noerror,NA,NA
babylab-utrecht,603,ADS,ADS6,14,17.999403,17.999403,noerror,NA,NA
babylab-utrecht,603,IDS,IDS8,15,0.348313,2.348313,noerror,NA,NA
babylab-utrecht,603,ADS,ADS8,16,13.235367,15.235367,noerror,NA,NA
babylab-utrecht,604,training,train1,-2,4.058588,6.704419,noerror,NA,NA
babylab-utrecht,604,training,train2,-1,5.020165,8.162249,noerror,NA,NA
babylab-utrecht,604,ADS,ADS5,1,9.606221,12.810671,noerror,NA,NA
babylab-utrecht,604,IDS,IDS5,2,15.315776,17.999408,noerror,NA,NA
babylab-utrecht,604,IDS,IDS7,3,6.802911,8.802911,noerror,NA,NA
babylab-utrecht,604,ADS,ADS7,4,7.920441,11.361721,noerror,NA,NA
babylab-utrecht,604,IDS,IDS1,5,5.592206,8.112598,noerror,NA,NA
babylab-utrecht,604,ADS,ADS1,6,14.381625,17.999393,noerror,NA,NA
babylab-utrecht,604,IDS,IDS3,7,5.571571,9.743475,noerror,NA,NA
babylab-utrecht,604,ADS,ADS3,8,3.058784,5.562835,noerror,NA,NA
babylab-utrecht,604,IDS,IDS2,9,13.522185,17.999386,noerror,NA,NA
babylab-utrecht,604,ADS,ADS2,10,6.570291,9.903057,noerror,NA,NA
babylab-utrecht,604,ADS,ADS4,11,13.662164,17.999426,noerror,NA,NA
