lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
baldwinlab-uoregon,MB01,training,training,1,4.187106258,6.203792039,noerror,NA,NA
baldwinlab-uoregon,MB01,training,training,2,7.524843072,10.84161976,noerror,NA,NA
baldwinlab-uoregon,MB01,IDS,IDS-1,3,0,2.014608201,noerror,NA,NA
baldwinlab-uoregon,MB01,ADS,ADS-1,4,9.266345871,11.28296367,noerror,NA,NA
baldwinlab-uoregon,MB01,IDS,IDS-2,5,0,2.014603934,noerror,NA,NA
baldwinlab-uoregon,MB01,ADS,ADS-2,6,3.074538034,6.374472498,noerror,NA,NA
baldwinlab-uoregon,MB01,ADS,ADS-3,7,2.464235408,4.597634334,noerror,NA,NA
baldwinlab-uoregon,MB01,IDS,IDS-3,8,5.170933614,7.187479164,noerror,NA,NA
baldwinlab-uoregon,MB01,IDS,IDS-4,9,1.289392677,3.305934246,noerror,NA,NA
baldwinlab-uoregon,MB01,ADS,ADS-4,10,2.575553216,5.742238371,noerror,NA,NA
baldwinlab-uoregon,MB01,ADS,ADS-5,11,4.556886849,6.572984969,noerror,NA,NA
baldwinlab-uoregon,MB01,IDS,IDS-5,12,4.921786662,6.938482115,error,fussy,NA
baldwinlab-uoregon,MB01,ADS,ADS-6,13,NC,NC,error,experiment ended early,NA
baldwinlab-uoregon,MB01,IDS,IDS-6,14,NC,NC,error,experiment ended early,NA
baldwinlab-uoregon,MB01,IDS,IDS-7,15,NC,NC,error,experiment ended early,NA
baldwinlab-uoregon,MB01,ADS,ADS-7,16,NC,NC,error,experiment ended early,NA
baldwinlab-uoregon,MB01,ADS,ADS-8,17,NC,NC,error,experiment ended early,NA
baldwinlab-uoregon,MB01,IDS,IDS-8,18,NC,NC,error,experiment ended early,NA
baldwinlab-uoregon,MB02,training,training,1,8.235848115,10.68591861,noerror,NA,NA
baldwinlab-uoregon,MB02,training,training,2,2.835159987,4.85172972,noerror,NA,NA
baldwinlab-uoregon,MB02,ADS,ADS-1,3,14.90488269,18.00483555,noerror,NA,NA
baldwinlab-uoregon,MB02,IDS,IDS-1,4,14.16186586,16.5284514,noerror,NA,NA
baldwinlab-uoregon,MB02,ADS,ADS-2,5,14.95366374,16.95367654,noerror,NA,NA
baldwinlab-uoregon,MB02,IDS,IDS-2,6,9.75057536,12.36722696,noerror,NA,NA
