lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
infantcoglab-louisville,234870,training,train1,-2,17.4,17.4,noerror,NA,
infantcoglab-louisville,234870,training,train2,-1,4.6,4.6,noerror,NA,
infantcoglab-louisville,234870,IDS,IDS1,1,17.6,17.6,noerror,NA,
infantcoglab-louisville,234870,ADS,ADS1,2,17.6,17.6,noerror,NA,
infantcoglab-louisville,234870,IDS,IDS2,3,4.8,4.8,noerror,NA,
infantcoglab-louisville,234870,ADS,ADS2,4,12.2,12.2,noerror,NA,
infantcoglab-louisville,234870,ADS,ADS3,5,3.3,3.3,noerror,NA,
infantcoglab-louisville,234870,IDS,IDS3,6,8.9,8.9,noerror,NA,
infantcoglab-louisville,234870,IDS,IDS4,7,1.9,1.9,noerror,NA,
infantcoglab-louisville,234870,ADS,ADS4,8,14.2,14.2,noerror,NA,
infantcoglab-louisville,234870,ADS,ADS5,9,14.3,14.3,noerror,NA,
infantcoglab-louisville,234870,IDS,IDS5,10,10.9,10.9,noerror,NA,
infantcoglab-louisville,234870,ADS,ADS6,11,2.1,2.1,noerror,NA,
infantcoglab-louisville,234870,IDS,IDS6,12,10.2,10.2,noerror,NA,
infantcoglab-louisville,234870,IDS,IDS7,13,14.4,14.4,noerror,NA,
infantcoglab-louisville,234870,ADS,ADS7,14,11.3,11.3,noerror,NA,
infantcoglab-louisville,234870,ADS,ADS8,15,3.5,3.5,noerror,NA,
infantcoglab-louisville,234870,IDS,IDS8,16,1.5,1.5,noerror,NA,
infantcoglab-louisville,234858,training,train1,-2,12,12,noerror,NA,
infantcoglab-louisville,234858,training,train2,-1,4.5,4.5,noerror,NA,
infantcoglab-louisville,234858,ADS,ADS1,1,13.8,13.8,noerror,NA,
infantcoglab-louisville,234858,IDS,IDS1,2,10.9,10.9,noerror,NA,
infantcoglab-louisville,234858,ADS,ADS2,3,7.5,7.5,noerror,NA,
