lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
lcdu-leeds,mb01,training,train1,-2,2.742,6.406,noerror,NA,
lcdu-leeds,mb01,training,train2,-1,1.556,4.175,noerror,NA,
lcdu-leeds,mb01,IDS,IDS1,1,8.505,12.983,noerror,NA,
lcdu-leeds,mb01,ADS,ADS1,2,3.687,6.597,noerror,NA,
lcdu-leeds,mb01,IDS,IDS2,3,7.749,10.593,noerror,NA,
lcdu-leeds,mb01,ADS,ADS2,4,3.909,6.82,noerror,NA,
lcdu-leeds,mb01,ADS,ADS3,5,3.964,9.099,noerror,NA,
lcdu-leeds,mb01,IDS,IDS3,6,5.571,8.455,noerror,NA,
lcdu-leeds,mb01,IDS,IDS4,7,3.886,5.993,noerror,NA,
lcdu-leeds,mb01,ADS,ADS4,8,0,2.014,noerror,NA,
lcdu-leeds,mb01,ADS,ADS5,9,3.546,6.139,noerror,NA,
lcdu-leeds,mb01,IDS,IDS5,10,14.663,18.015,noerror,NA,
lcdu-leeds,mb01,ADS,ADS6,11,5.086,9.698,noerror,NA,
lcdu-leeds,mb01,IDS,IDS6,12,4.75,9.097,noerror,NA,
lcdu-leeds,mb01,IDS,IDS7,13,0,2.016,noerror,NA,
lcdu-leeds,mb01,ADS,ADS7,14,7.972,13.561,noerror,NA,
lcdu-leeds,mb01,ADS,ADS8,15,0,2.009,noerror,NA,
lcdu-leeds,mb01,IDS,IDS8,16,5.234,8.606,noerror,NA,
lcdu-leeds,mb02,training,train2,-2,0.282,3.556,noerror,NA,
lcdu-leeds,mb02,training,train1,-1,1.201,4.336,noerror,NA,
lcdu-leeds,mb02,ADS,ADS1,1,0,2.015,noerror,NA,
lcdu-leeds,mb02,IDS,IDS1,2,0.116,5.528,noerror,NA,
lcdu-leeds,mb02,ADS,ADS2,3,0,2.017,noerror,NA,
lcdu-leeds,mb02,IDS,IDS2,4,0,2.017,noerror,NA,
lcdu-leeds,mb02,IDS,IDS3,5,1.848,4.28,noerror,NA,
lcdu-leeds,mb02,ADS,ADS3,6,2.062,6.543,noerror,NA,
lcdu-leeds,mb02,ADS,ADS4,7,0.622,3.327,noerror,NA,
lcdu-leeds,mb02,IDS,IDS4,8,0,2.013,noerror,NA,
lcdu-leeds,mb02,IDS,IDS5,9,0.082,3.495,noerror,NA,
lcdu-leeds,mb02,ADS,ADS5,10,0,3.975,noerror,NA,
lcdu-leeds,mb02,IDS,IDS6,11,0.076,3.398,noerror,NA,
lcdu-leeds,mb02,ADS,ADS6,12,0,2.016,noerror,NA,
lcdu-leeds,mb02,ADS,ADS7,13,0.028,3.139,noerror,NA,
lcdu-leeds,mb02,IDS,IDS7,14,2.833,5.117,noerror,NA,
lcdu-leeds,mb02,IDS,IDS8,15,0,3.336,noerror,NA,
lcdu-leeds,mb02,ADS,ADS8,16,0,2.017,noerror,NA,
lcdu-leeds,mb03,training,train1,-2,0.802,2.959,noerror,NA,
lcdu-leeds,mb03,training,train2,-1,0.715,2.982,noerror,NA,
lcdu-leeds,mb03,IDS,IDS5,1,3.632,6.297,noerror,NA,
lcdu-leeds,mb03,ADS,ADS5,2,3.104,5.785,noerror,NA,
lcdu-leeds,mb03,ADS,ADS7,3,2.538,7.123,noerror,NA,
lcdu-leeds,mb03,IDS,IDS7,4,1.714,4.448,noerror,NA,
lcdu-leeds,mb03,ADS,ADS1,5,3.522,5.861,noerror,NA,
lcdu-leeds,mb03,IDS,IDS1,6,6.576,11.794,noerror,NA,
lcdu-leeds,mb03,ADS,ADS3,7,0.783,2.84,noerror,NA,
lcdu-leeds,mb03,IDS,IDS3,8,1.23,6.127,noerror,NA,
lcdu-leeds,mb03,ADS,ADS2,9,1.436,3.759,noerror,NA,
lcdu-leeds,mb03,IDS,IDS2,10,0,3.275,noerror,NA,
lcdu-leeds,mb03,IDS,IDS4,11,1.403,3.744,noerror,NA,
lcdu-leeds,mb03,ADS,ADS4,12,NC,NC,error,experiment ended early because baby fussed out,
lcdu-leeds,mb03,IDS,IDS6,13,NC,NC,error,experiment ended early because baby fussed out,
lcdu-leeds,mb03,ADS,ADS6,14,NC,NC,error,experiment ended early because baby fussed out,
lcdu-leeds,mb03,IDS,IDS8,15,NC,NC,error,experiment ended early because baby fussed out,
lcdu-leeds,mb03,ADS,ADS8,16,NC,NC,error,experiment ended early because baby fussed out,
lcdu-leeds,mb04,training,train2,-2,11.973,16.754,noerror,NA,
lcdu-leeds,mb04,training,train1,-1,2.329,6.286,noerror,NA,
lcdu-leeds,mb04,ADS,ADS5,1,4.179,7.856,noerror,NA,
lcdu-leeds,mb04,IDS,IDS5,2,2.675,4.751,noerror,NA,
lcdu-leeds,mb04,IDS,IDS7,3,2.165,4.263,noerror,NA,
lcdu-leeds,mb04,ADS,ADS7,4,2.642,4.878,noerror,NA,
lcdu-leeds,mb04,IDS,IDS1,5,0,2.01,noerror,NA,
lcdu-leeds,mb04,ADS,ADS1,6,1.674,4.547,noerror,NA,
lcdu-leeds,mb04,IDS,IDS3,7,0,2.016,noerror,NA,
lcdu-leeds,mb04,ADS,ADS3,8,0.073,2.1,noerror,NA,
lcdu-leeds,mb04,IDS,IDS2,9,6.004,9.729,noerror,NA,
lcdu-leeds,mb04,ADS,ADS2,10,4.498,10.296,noerror,NA,
lcdu-leeds,mb04,ADS,ADS4,11,2.077,5.909,noerror,NA,
lcdu-leeds,mb04,IDS,IDS4,12,0,2.014,noerror,NA,
lcdu-leeds,mb04,ADS,ADS6,13,0,2.015,noerror,NA,
lcdu-leeds,mb04,IDS,IDS6,14,7.916,15.015,noerror,NA,
lcdu-leeds,mb04,ADS,ADS8,15,6.144,10.76,noerror,NA,
lcdu-leeds,mb04,IDS,IDS8,16,0.704,7.135,noerror,NA,
lcdu-leeds,mb05,training,train1,-2,4.626,9.344,noerror,NA,
lcdu-leeds,mb05,training,train2,-1,1.556,4.604,noerror,NA,
lcdu-leeds,mb05,IDS,IDS1,1,0.7,5.436,noerror,NA,
lcdu-leeds,mb05,ADS,ADS1,2,0.13,5.034,noerror,NA,
lcdu-leeds,mb05,IDS,IDS2,3,2.874,9.519,noerror,NA,
lcdu-leeds,mb05,ADS,ADS2,4,0,2.015,error,parent interference,
lcdu-leeds,mb05,ADS,ADS3,5,0,2.016,noerror,NA,
lcdu-leeds,mb05,IDS,IDS3,6,0,2.013,noerror,NA,
lcdu-leeds,mb05,IDS,IDS4,7,0,2.018,error,too fussy,
lcdu-leeds,mb05,ADS,ADS4,8,0,2.009,error,too fussy,
lcdu-leeds,mb05,ADS,ADS5,9,0,2.559,noerror,NA,
lcdu-leeds,mb05,IDS,IDS5,10,NC,NC,error,experiment ended early because baby fussed out,
lcdu-leeds,mb05,ADS,ADS6,11,NC,NC,error,experiment ended early because baby fussed out,
lcdu-leeds,mb05,IDS,IDS6,12,NC,NC,error,experiment ended early because baby fussed out,
lcdu-leeds,mb05,IDS,IDS7,13,NC,NC,error,experiment ended early because baby fussed out,
lcdu-leeds,mb05,ADS,ADS7,14,NC,NC,error,experiment ended early because baby fussed out,
lcdu-leeds,mb05,ADS,ADS8,15,NC,NC,error,experiment ended early because baby fussed out,
lcdu-leeds,mb05,IDS,IDS8,16,NC,NC,error,experiment ended early because baby fussed out,
lcdu-leeds,mb06,training,train2,-2,3.975,9.334,noerror,NA,
lcdu-leeds,mb06,training,train1,-1,1.762,3.84,noerror,NA,
lcdu-leeds,mb06,ADS,ADS1,1,2.449,6.265,noerror,NA,
lcdu-leeds,mb06,IDS,IDS1,2,3.05,6.704,noerror,NA,
lcdu-leeds,mb06,ADS,ADS2,3,2.067,7.129,noerror,NA,
lcdu-leeds,mb06,IDS,IDS2,4,0.256,4.898,noerror,NA,
lcdu-leeds,mb06,IDS,IDS3,5,0.068,3.236,noerror,NA,
lcdu-leeds,mb06,ADS,ADS3,6,0,2.007,noerror,NA,
lcdu-leeds,mb06,ADS,ADS4,7,1.522,4.818,noerror,NA,
lcdu-leeds,mb06,IDS,IDS4,8,2.032,6.927,noerror,NA,
lcdu-leeds,mb06,IDS,IDS5,9,0,2.014,noerror,NA,
lcdu-leeds,mb06,ADS,ADS5,10,0.46,3.086,noerror,NA,
lcdu-leeds,mb06,IDS,IDS6,11,0.366,3.683,noerror,NA,
lcdu-leeds,mb06,ADS,ADS6,12,0.602,3.418,noerror,NA,
lcdu-leeds,mb06,ADS,ADS7,13,1,3.986,noerror,NA,
lcdu-leeds,mb06,IDS,IDS7,14,0,3.743,noerror,NA,
lcdu-leeds,mb06,IDS,IDS8,15,0.308,3.109,noerror,NA,
lcdu-leeds,mb06,ADS,ADS8,16,0,2.737,noerror,NA,
lcdu-leeds,mb07,training,train1,-2,16.202,18.01,noerror,NA,
lcdu-leeds,mb07,training,train2,-1,15.67,18.014,noerror,NA,
lcdu-leeds,mb07,IDS,IDS5,1,17.306,18.016,noerror,NA,
lcdu-leeds,mb07,ADS,ADS5,2,11.536,14.073,noerror,NA,
lcdu-leeds,mb07,ADS,ADS7,3,15.033,18.009,noerror,NA,
lcdu-leeds,mb07,IDS,IDS7,4,15.068,18.014,noerror,NA,
lcdu-leeds,mb07,ADS,ADS1,5,5.287,7.677,noerror,NA,
lcdu-leeds,mb07,IDS,IDS1,6,16.598,18.01,noerror,NA,
lcdu-leeds,mb07,ADS,ADS3,7,8.199,10.752,noerror,NA,
lcdu-leeds,mb07,IDS,IDS3,8,16.309,18.007,noerror,NA,
lcdu-leeds,mb07,ADS,ADS2,9,10.43,15.86,noerror,NA,
