lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
trainorlab,s01,training,train1,-2,14.7876,19.4855,noerror',,
trainorlab,s01,training,train2,-1,10.1016,15.1186,noerror',,
trainorlab,s01,IDS,IDS1,1,18.0021,18.0021,noerror',,
trainorlab,s01,IDS,IDS2,3,15.1381,18.0009,noerror',,
trainorlab,s01,IDS,IDS3,6,14.247,18.0019,noerror',,
trainorlab,s01,IDS,IDS4,7,5.0556,8.0587,noerror',,
trainorlab,s01,IDS,IDS5,10,7.5795,14.2436,noerror',,
trainorlab,s01,IDS,IDS6,12,6.8447,11.8296,noerror',,
trainorlab,s01,IDS,IDS7,13,14.3241,18.002,noerror',,
trainorlab,s01,IDS,IDS8,16,6.9056,9.9086,noerror',,
trainorlab,s01,ADS,ADS1,2,15.4342,18.0632,noerror',,
trainorlab,s01,ADS,ADS2,4,11.6827,15.9727,noerror',,
trainorlab,s01,ADS,ADS3,5,12.994,18.999,noerror',,
trainorlab,s01,ADS,ADS4,8,15.91,19.122,noerror',,
trainorlab,s01,ADS,ADS5,9,6.0627,9.5567,noerror',,
trainorlab,s01,ADS,ADS6,11,8.5856,14.4966,noerror',,
trainorlab,s01,ADS,ADS7,14,9.6061,17.204,noerror',,
trainorlab,s01,ADS,ADS8,15,4.8747,7.8777,noerror',,
trainorlab,s02,training,train1,-2,10.2519,13.255,noerror',,
trainorlab,s02,training,train2,-1,18.2595,20.3725,noerror',,
trainorlab,s02,IDS,IDS1,2,14.237,18.0015,noerror',,
trainorlab,s02,IDS,IDS2,4,7.997,13.564,noerror',,
trainorlab,s02,IDS,IDS3,5,15.2761,19.8551,noerror',,
trainorlab,s02,IDS,IDS4,8,17.8816,22.5635,noerror',,
trainorlab,s02,IDS,IDS5,9,11.8018,17.4389,noerror',,
trainorlab,s02,IDS,IDS6,11,11.212,16.3371,noerror',,
trainorlab,s02,IDS,IDS7,14,1.4641,4.4672,noerror',,
trainorlab,s02,IDS,IDS8,15,2.7977,5.8008,noerror',,
trainorlab,s02,ADS,ADS1,1,13.9787,18.0016,noerror',,
trainorlab,s02,ADS,ADS2,3,8.3225,14.0986,noerror',,
trainorlab,s02,ADS,ADS3,6,6.8529,12.814,noerror',,
trainorlab,s02,ADS,ADS4,7,3.3161,7.7152,noerror',,
trainorlab,s02,ADS,ADS5,10,5.2451,8.2482,noerror',,
trainorlab,s02,ADS,ADS6,12,4.962,7.9651,noerror',,
trainorlab,s02,ADS,ADS7,13,4.4076,8.3527,noerror',,
trainorlab,s02,ADS,ADS8,16,15.317,21.874,noerror',,
trainorlab,s03,training,train1,-2,13.1848,18.0004,noerror',,
trainorlab,s03,training,train2,-1,9.6849,16.652,noerror',,
trainorlab,s03,IDS,IDS1,6,3.7685,6.7716,error',"""experimenter interference""","""infant didn't want to look at speaker"""
trainorlab,s03,IDS,IDS2,10,10.8905,15.6636,noerror',,
trainorlab,s03,IDS,IDS3,8,6.6366,10.7285,noerror',,
trainorlab,s03,IDS,IDS4,11,8.3515,13.2145,error',"""experimenter interference""","""infant didn't want to look at speaker"""
trainorlab,s03,IDS,IDS5,1,14.4562,18.002,error',"""experimenter interference""","""infant didn't want to look at speaker"""
trainorlab,s03,IDS,IDS6,13,1.2256,4.2287,error',"""fussy""",
trainorlab,s03,IDS,IDS7,4,11.8601,18.0004,noerror',,
trainorlab,s03,IDS,IDS8,15,1.9136,4.9167,error',"""fussy""",
trainorlab,s03,ADS,ADS1,5,10.7524,15.4465,noerror',,
trainorlab,s03,ADS,ADS2,9,4.212,7.2151,noerror',,
trainorlab,s03,ADS,ADS3,7,6.7214,10.8915,noerror',,
trainorlab,s03,ADS,ADS4,12,3.4126,6.4157,error',"""experimenter interference""","""infant didn't want to look at speaker"""
trainorlab,s03,ADS,ADS5,2,4.851,7.8541,noerror',,
trainorlab,s03,ADS,ADS6,14,2.8941,5.8972,error',"""fussy""",
trainorlab,s03,ADS,ADS7,3,13.9877,18.0015,noerror',,
trainorlab,s03,ADS,ADS8,16,3.6641,10.1361,error',"""fussy""",
trainorlab,s04,training,train1,-2,13.5289,16.532,noerror',,
trainorlab,s04,training,train2,-1,13.1371,18.001,noerror',,
trainorlab,s04,IDS,IDS1,5,10.9629,18.0014,noerror',,
trainorlab,s04,IDS,IDS2,9,7.485,10.4881,noerror',,
trainorlab,s04,IDS,IDS3,7,14.1559,18.0015,noerror',,
trainorlab,s04,IDS,IDS4,12,4.0041,7.0072,noerror',,
trainorlab,s04,IDS,IDS5,2,13.0706,18.0015,noerror',,
trainorlab,s04,IDS,IDS6,14,5.11,8.1131,noerror',,
trainorlab,s04,IDS,IDS7,3,13.633,18.0005,noerror',,
trainorlab,s04,IDS,IDS8,16,11.2741,17.266,noerror',,
trainorlab,s04,ADS,ADS1,6,12.4618,15.4649,noerror',,
trainorlab,s04,ADS,ADS2,10,6.7755,9.7786,noerror',,
trainorlab,s04,ADS,ADS3,8,2.4626,5.4657,noerror',,
trainorlab,s04,ADS,ADS4,11,5.7836,8.7867,noerror',,
trainorlab,s04,ADS,ADS5,1,12.2024,17.1055,noerror',,
trainorlab,s04,ADS,ADS6,13,4.139,7.1421,noerror',,
trainorlab,s04,ADS,ADS7,4,6.7271,11.3072,noerror',,
trainorlab,s04,ADS,ADS8,15,5.0161,8.0192,noerror',,
trainorlab,s05,training,train1,-2,2.232,6.1401,error',"""experimenter interference""","""infant didn't want to look at speaker"""
trainorlab,s05,training,train2,-1,14.307,18.0009,noerror',,
trainorlab,s05,IDS,IDS1,1,14.5739,18.0018,noerror',,
