lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
uds-saarland,1,training,training,1,16.500275135,18.0131952763,noerror,NA,NA
uds-saarland,1,training,training,2,14.3770170212,18.0070500374,noerror,NA,NA
uds-saarland,1,IDS,IDS-1,3,18.013999939,18.013999939,noerror,NA,NA
uds-saarland,1,ADS,ADS-1,4,16.7252347469,18.0033626556,noerror,NA,NA
uds-saarland,1,IDS,IDS-2,5,18.0045289993,18.0045289993,noerror,NA,NA
uds-saarland,1,ADS,ADS-2,6,4.421970129,6.4295432568,noerror,NA,NA
uds-saarland,1,ADS,ADS-3,7,14.4295051098,16.4413831234,noerror,NA,NA
uds-saarland,1,IDS,IDS-3,8,11.5809817314,14.0719008446,noerror,NA,NA
uds-saarland,1,IDS,IDS-4,9,4.6785280704,7.2781157494,noerror,NA,NA
uds-saarland,1,ADS,ADS-4,10,5.0449030399,7.0599501133,noerror,NA,NA
uds-saarland,1,ADS,ADS-5,11,1.8205759525,3.8314678669,noerror,NA,NA
uds-saarland,1,IDS,IDS-5,12,16.4598400593,18.0061161518,noerror,NA,NA
uds-saarland,1,ADS,ADS-6,13,9.9782602787,13.4866342545,noerror,NA,NA
uds-saarland,1,IDS,IDS-6,14,9.8547818661,13.2089378834,noerror,NA,NA
uds-saarland,1,IDS,IDS-7,15,3.623909235,6.6431362629,noerror,NA,NA
uds-saarland,1,ADS,ADS-7,16,14.6207370758,18.0148038864,noerror,NA,NA
uds-saarland,1,ADS,ADS-8,17,14.443805933,16.4481239319,noerror,NA,NA
uds-saarland,1,IDS,IDS-8,18,16.1402990818,18.00436306,noerror,NA,NA
uds-saarland,2,training,training,1,14.9757285118,18.0167450905,noerror,NA,NA
uds-saarland,2,training,training,2,16.2227711678,18.0201649666,noerror,NA,NA
uds-saarland,2,IDS,IDS-1,3,10.3630800247,12.3656291962,noerror,NA,NA
uds-saarland,2,ADS,ADS-1,4,10.4788622856,12.9694721699,noerror,NA,NA
uds-saarland,2,IDS,IDS-2,5,6.6812000275,8.6978430748,noerror,NA,NA
uds-saarland,2,ADS,ADS-2,6,7.1541850567,10.9870929718,noerror,NA,NA
uds-saarland,2,ADS,ADS-3,7,4.7077860832,7.1660821438,noerror,NA,NA
uds-saarland,2,IDS,IDS-3,8,3.6106638908,5.6217987537,noerror,NA,NA
uds-saarland,2,IDS,IDS-4,9,4.2475111485,6.2593400478,noerror,NA,NA
uds-saarland,2,ADS,ADS-4,10,3.6027641296,5.6241562366,noerror,NA,NA
uds-saarland,2,ADS,ADS-5,11,3.0008940697,5.0167520046,noerror,NA,NA
uds-saarland,2,IDS,IDS-5,12,4.7967979908,7.9265179634,noerror,NA,NA
uds-saarland,2,ADS,ADS-6,13,2.7110500336,4.7121880054,noerror,NA,NA
uds-saarland,2,IDS,IDS-6,14,11.6622898579,16.6899819374,noerror,NA,NA
uds-saarland,2,IDS,IDS-7,15,6.3600358963,9.1149787903,noerror,NA,NA
uds-saarland,2,ADS,ADS-7,16,3.3780829906,5.773168087,noerror,NA,NA
uds-saarland,2,ADS,ADS-8,17,3.2610290051,5.2639520168,noerror,NA,NA
uds-saarland,2,IDS,IDS-8,18,3.2198629379,5.2368028164,noerror,NA,NA
uds-saarland,3,training,training,1,0,2.0179178715,noerror,NA,NA
uds-saarland,3,training,training,2,17.2575109005,18.0083208084,noerror,NA,NA
uds-saarland,3,IDS,IDS-1,3,11.007281065,13.0078229904,noerror,NA,NA
uds-saarland,3,ADS,ADS-1,4,4.5741400719,6.5891771317,noerror,NA,NA
uds-saarland,3,IDS,IDS-2,5,7.4051349163,13.5364427567,noerror,NA,NA
uds-saarland,3,ADS,ADS-2,6,2.5396261215,4.5608780384,noerror,NA,NA
uds-saarland,3,ADS,ADS-3,7,2.8719990253,4.8726010323,noerror,NA,NA
uds-saarland,3,IDS,IDS-3,8,3.0483219624,5.0516021252,noerror,NA,NA
