lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
wsi-goettingen,M101,training,training,-2,8.48,NC,noerror,NA,NA
wsi-goettingen,M101,training,training,-1,5.14,NC,noerror,NA,NA
wsi-goettingen,M101,IDS,IDS1,1,10.23,NC,noerror,NA,NA
wsi-goettingen,M101,ADS,ADS1,2,3.95,NC,noerror,NA,NA
wsi-goettingen,M101,IDS,IDS2,3,12.79,NC,noerror,NA,NA
wsi-goettingen,M101,ADS,ADS2,4,16.46,NC,noerror,NA,NA
wsi-goettingen,M101,ADS,ADS3,5,16.91,NC,noerror,NA,NA
wsi-goettingen,M101,IDS,IDS3,6,11.02,NC,noerror,NA,NA
wsi-goettingen,M101,IDS,IDS4,7,11.7,NC,noerror,NA,NA
wsi-goettingen,M101,ADS,ADS4,8,6.53,NC,noerror,NA,NA
wsi-goettingen,M101,ADS,ADS5,9,12.92,NC,noerror,NA,NA
wsi-goettingen,M101,IDS,IDS5,10,11.99,NC,noerror,NA,NA
wsi-goettingen,M101,ADS,ADS6,11,12.9,NC,noerror,NA,NA
wsi-goettingen,M101,IDS,IDS6,12,16.19,NC,noerror,NA,NA
wsi-goettingen,M101,IDS,IDS7,13,9.91,NC,noerror,NA,NA
wsi-goettingen,M101,ADS,ADS7,14,16.05,NC,noerror,NA,NA
wsi-goettingen,M101,ADS,ADS8,15,6.75,NC,noerror,NA,NA
wsi-goettingen,M101,IDS,IDS8,16,9.95,NC,noerror,NA,NA
wsi-goettingen,M102,training,training,-2,16.45,NC,noerror,NA,NA
wsi-goettingen,M102,training,training,-1,14.25,NC,noerror,NA,NA
wsi-goettingen,M102,ADS,ADS1,1,16.1,NC,noerror,NA,NA
wsi-goettingen,M102,IDS,IDS1,2,7.63,NC,noerror,NA,NA
wsi-goettingen,M102,ADS,ADS2,3,10.06,NC,noerror,NA,NA
wsi-goettingen,M102,IDS,IDS2,4,5.52,NC,noerror,NA,NA
wsi-goettingen,M102,IDS,IDS3,5,3.45,NC,noerror,NA,NA
